club_name,player_name,age,position,club_involved_name,Status Transfer,Fees,transfer_movement
Al-Ahli SFC,Marcao,29,CF,WH Three Towns,loan transfer,0,out
Al-Okhdood Club,ALex Collado,24,RW,Real Betis,loan transfer,0,in
Al-Nassr FC,ALvaro Gonza¡Lez,33,CB,Al-Qadsiah FC,free transfer,0,out
Al-Shabab FC,Aaron Boupendza,26,CF,Cincinnati,buying,6500000,out
Khaleej FC,Abdalellah Hawsawi,18,DM,Ittihad C. U23,loan transfer,0,in
Al-Riyadh SC,Abdulaziz Al-Aryani,27,CF,Ohod Club,End of loan,0,out
Damac FC,Abdulaziz Al-Bishi,29,RW,Ittihad Club,loan transfer,0,in
Al-Riyadh SC,Abdulaziz Damdam,28,CM,Ohod Club,free transfer,0,out
Al-Shabab FC,Abdulelah Al-Shammeri,24,AM,Damac FC,free transfer,0,in
Al-Nassr FC,Abdulfattah Adam,28,CF,Abha,free transfer,0,in
Al-Tai FC,Abdulfattah Asiri,29,RW,IFK Mariehamn,free transfer,0,in
Al-Riyadh SC,Abdulhadi Al-Harajin,28,AM,Al-Hazem,free transfer,0,in
Khaleej FC,Abdullah Al-Harbi,34,CB,Al-Kholood,free transfer,0,out
Al-Shabab FC,Abdullah Al-Jawaey,27,LW,Al-Tai,free transfer,0,in
Khaleej FC,Abdullah Al-Salem,30,CF,Al-Ettifaq,free transfer,0,in
Al-Fayha FC,Abdullah Al-Shamekh,30,LB,Al-Qadsiah FC,End of loan,0,out
Al-Fateh SC,Abdullah Al-Yousef,25,LB,Al-Batin,free transfer,0,in
Abha Club,Abdullah Al-Zoari,35,CB,Al-Qadsiah FC,free transfer,0,out
Al-Ahli SFC,Abdullah Otayf,30,DM,Al-Hilal,free transfer,0,in
Al-Hilal SFC,Abdullah Radif,20,CF,Al-Taawoun,free transfer,0,in
Al-Taawoun FC,Abdulmalik Al-Shammari,27,LB,Al-Raed,free transfer,0,in
Al-Hazem SC,Abdulrahman Al-Dhaferi,25,DM,Al-Arabi SC,free transfer,0,out
Al-Tai FC,Abdulrahman Al-Harthi,24,RW,Al-Ain FC,free transfer,0,in
Al-Hilal SFC,Abdulrahman Al-Obaid,30,LB,Al-Ettifaq,free transfer,0,in
Al-Okhdood Club,Abdulrahman Al-Rio,29,LB,Al-Faisaly FC,free transfer,0,in
Al-Tai FC,Abdulwahab Jafar,29,RW,Without Club,free transfer,0,out
Al-Tai FC,Adeeb Al-Haizan,22,CF,Al-Orobah FC,free transfer,0,in
Al-Tai FC,Adrian Martinez,29,CB,Without Club,free transfer,0,out
